,Movie_title,avg_rating,release_year,rating_num
0,Once Upon a Time... In Hollywood,7.6,2019,5600
1,Toy Story 4,7.7,2019,1300
2,Spider-Man: Far from Home,7.4,2019,2300
3,Cold War,7.6,2018,226
4,John Wick: Chapter 3 - Parabellum,7.4,2019,2400
5,How to Train Your Dragon: The Hidden World,7.5,2019,707
6,El Camino: A Breaking Bad Movie,7.3,2019,1800
7,Rocketman,7.3,2019,1000
8,Alita: Battle Angel,7.3,2019,2800
9,Midsommar,7.1,2019,3600
10,Booksmart,7.2,2019,787
11,Shazam!,7.0,2019,2100
12,Fighting with My Family,7.1,2019,396
13,Aladdin,6.9,2019,2400
14,Ad Astra,6.5,2019,3300
15,The Dirt,7.0,2019,580
16,Soorarai Pottru,9.1,2020,2100
17,Dara of Jasenovac,8.7,2020,856
18,Shershaah,8.7,2021,3100
19,Sardar Udham,8.7,2021,893
20,Drishyam 2,8.6,2021,1000
21,96,8.5,2018,479
22,Raatchasan,8.4,2018,547
23,Ayla: The Daughter of War,8.4,2017,80
24,Chhichhore,8.3,2019,721
25,Uri: The Surgical Strike,8.3,2019,1000
26,Tumbbad,8.3,2018,835
27,K.G.F: Chapter 1,8.3,2018,1200
28,Vikram Vedha,8.3,2017,183
29,3:10 to Yuma,7.7,2007,678
30,The Bucket List,7.4,2007,393
31,The Terminal,7.4,2004,812
32,The Bridges of Madison County,7.6,1995,276
33,Driving Miss Daisy,7.4,1989,202
34,Millions,6.9,2004,165
35,As Good as It Gets,7.7,1997,591
36,Dances with Wolves,8.0,1990,522
37,Babel,7.4,2006,986
38,Cast Away,7.8,2000,1200
39,Traffic,7.6,2000,914
40,The Last King of Scotland,7.7,2006,387
41,Blood Diamond,8.0,2006,769
42,Boys Don't Cry,7.5,1999,453
43,Apocalypto,7.8,2006,1200
44,The Blind Side,7.6,2009,566
45,Gandhi,8.0,1982,319
46,Fried Green Tomatoes,7.7,1991,219
47,Scent of a Woman,8.0,1992,472
48,Titanic,7.8,1997,3100
49,The Pursuit of Happyness,8.0,2006,885
50,Little Miss Sunshine,7.8,2006,1000
51,Crash,7.7,2004,1700
52,Mulholland Drive,7.9,2001,2000
53,A Few Good Men,7.7,1992,452
54,Finding Neverland,7.6,2004,679
55,Superbad,7.6,2007,749
56,The Bourne Ultimatum,8.0,2007,938
57,Gone Baby Gone,7.6,2007,629
58,The Untouchables,7.9,1987,578
59,Atonement,7.8,2007,714
60,The English Patient,7.4,1996,544
61,Pride & Prejudice,7.8,2005,1200
62,The Italian Job,7.0,2003,569
63,In the Heat of the Night,7.9,1967,261
64,Munich,7.5,2005,893
65,King Kong,7.2,2005,2700
66,Slumdog Millionaire,8.0,2008,1200
67,The World's Fastest Indian,7.8,2005,273
68,In Bruges,7.9,2008,672
69,When Harry Met Sally...,7.6,1989,369
70,Love Actually,7.6,2003,1200
71,The Namesake,7.5,2006,134
72,Troy,7.3,2004,1800
73,The Exorcist,8.0,1973,1300
74,Papillon,8.0,1973,231
75,Enemy at the Gates,7.6,2001,734
76,Patton,7.9,1970,321
77,The Insider,7.8,1999,566
78,Sin City,8.0,2005,1800
79,500 Days of Summer,7.6,2009,697
80,Annie Hall,8.0,1977,553
81,Doubt,7.5,2008,417
82,Sounder,7.6,1972,38
83,The French Connection,7.7,1971,372
84,Glory,7.8,1989,487
85,The King's Speech,8.0,2010,795
86,All the President's Men,8.0,1976,276
87,Life of Pi,7.9,2012,984
88,Avatar,7.8,2009,3500
89,Harry Potter and the Deathly Hallows: Part 1,7.7,2010,751
90,Marriage Story,7.9,2019,1300
91,The Message,8.2,1976,170
92,The Red Shoes,8.1,1948,191
93,White Heat,8.1,1949,202
94,Song of the Sea,8.1,2014,153
95,Inherit the Wind,8.1,1960,212
96,The Best Years of Our Lives,8.1,1946,329
97,Ace in the Hole,8.1,1951,201
98,The Man Who Shot Liberty Valance,8.1,1962,284
99,"Paris, Texas",8.1,1984,292
100,The Grapes of Wrath,8.1,1940,376
101,The Legend of 1900,8.1,1998,289
102,The Princess Bride,8.1,1987,935
103,What Ever Happened to Baby Jane?,8.1,1962,271
104,Paper Moon,8.1,1973,170
105,All Quiet on the Western Front,8.1,1930,260
106,The Shop Around the Corner,8.1,1940,179
107,Soul,8.1,2020,1800
108,The Iron Giant,8.0,1999,613
109,The Help,8.0,2011,630
110,Roman Holiday,8.0,1953,326
111,The Sound of Music,8.0,1965,543
112,Lion,8.0,2016,604
113,Guardians of the Galaxy,8.0,2014,1500
114,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,2003,2200
115,Brief Encounter,8.0,1945,247
116,The Terminator,8.0,1984,1000
117,Butch Cassidy and the Sundance Kid,8.0,1969,461
118,Jaws,8.0,1975,1300
119,Groundhog Day,8.0,1993,874
120,Sweet Smell of Success,8.0,1957,173
121,Pink Floyd: The Wall,8.0,1982,308
122,Dog Day Afternoon,8.0,1975,352
123,The Wizard of Oz,8.0,1939,778
124,Anatomy of a Murder,8.0,1959,258
125,Wolfwalkers,8.0,2020,216
126,Dogville,8.0,2003,672
127,Ratatouille,8.0,2007,827
128,Young Frankenstein,8.0,1974,397
129,Beauty and the Beast,8.0,1991,472
130,The Incredibles,8.0,2004,1000
131,The Imitation Game,8.0,2014,941
132,Kind Hearts and Coronets,8.0,1949,168
133,Donnie Darko,8.0,2001,2300
134,The Night of the Hunter,8.0,1955,486
135,Rosemary's Baby,8.0,1968,627
136,Kill Bill: Vol. 2,8.0,2004,1000
137,Who's Afraid of Virginia Woolf?,8.0,1966,326
138,Out of the Past,8.0,1947,263
139,The Avengers,8.0,2012,2000
140,Magnolia,8.0,1999,1500
141,Touch of Evil,8.0,1958,342
142,JFK,8.0,1991,535
143,Fiddler on the Roof,8.0,1971,187
144,Rain Man,8.0,1988,495
145,Zootopia,8.0,2016,821
146,The Straight Story,8.0,1999,472
147,The Maltese Falcon,8.0,1941,447
148,The Martian,8.0,2015,1400
149,Sling Blade,8.0,1996,342
150,12 Monkeys,8.0,1995,718
151,Her,8.0,2013,1200
152,La La Land,8.0,2016,2000
153,Rio Bravo,8.0,1959,257
154,The Last Picture Show,8.0,1971,212
155,Secrets & Lies,8.0,1996,176
156,Eternals,6.4,2021,3200
157,Shang-Chi and the Legend of the Ten Rings,7.5,2021,2300
158,Black Widow,6.7,2021,3000
159,Big Hero 6,7.8,2014,607
160,Suicide Squad,5.9,2016,2500
161,Wonder Woman,7.4,2017,2400
162,Justice League,6.1,2017,2300
163,Aquaman,6.9,2018,4400
164,Wonder Woman 1984,5.4,2020,7300
165,Zack Snyder's Justice League,8.1,2021,7900
166,Man of Steel,7.0,2013,3000
167,Batman v Superman: Dawn of Justice,6.4,2016,4100
168,Birds of Prey,6.1,2020,2600
169,The Suicide Squad,7.2,2021,3300
170,Through My Window,5.5,2022,63
171,Descendants,6.4,2015,102
172,Descendants 3,6.6,2019,94
173,Descendants 2,6.5,2017,69
174,Call Me by Your Name,7.9,2017,1100
175,Murder on the Orient Express,6.5,2017,1000
176,The Hating Game,6.4,2021,103
177,After We Collided,5.2,2020,531
178,After We Fell,4.7,2021,196
179,After,5.3,2019,925
180,The Kissing Booth 2,5.7,2020,390
181,The Last Song,6.0,2010,217
182,If I Stay,6.7,2014,181
183,All the Bright Places,6.5,2020,287
184,Crazy Rich Asians,6.9,2018,1200
185,Paper Towns,6.2,2015,216
186,Me Before You,7.4,2016,557
187,The Perks of Being a Wallflower,7.9,2012,739
188,Little Women,7.8,2019,1100
189,Fifty Shades Freed,4.5,2018,285
190,The Twilight Saga: Breaking Dawn - Part 1,4.9,2011,431
191,The Twilight Saga: Eclipse,5.0,2010,504
192,Divergent,6.6,2014,855
193,The Maze Runner,6.8,2014,691
194,Allegiant,5.7,2016,249
195,The Divergent Series: Insurgent,6.2,2015,338
196,Maze Runner: The Scorch Trials,6.3,2015,480
197,The Hunger Games,7.2,2012,2100
198,Maze Runner: The Death Cure,6.3,2018,498
199,The Twilight Saga: Breaking Dawn - Part 2,5.5,2012,379
200,Twilight,5.2,2008,1700
201,The Twilight Saga: New Moon,4.8,2009,787
202,The Kissing Booth,6.0,2018,659
203,Fifty Shades Darker,4.6,2017,325
204,The Kissing Booth 3,4.7,2021,256
205,To All the Boys: Always and Forever,6.3,2021,131
206,To All the Boys: P.S. I Still Love You,6.0,2020,167
207,365 Days,3.3,2020,1400
208,Fifty Shades of Grey,4.1,2015,1600
209,Let It Snow,5.8,2019,205
210,"Love, Rosie",7.2,2014,209
211,The Notebook,7.8,2004,1300
212,Bridget Jones's Diary,6.7,2001,625
213,About Time,7.8,2013,818
214,Brooklyn,7.5,2015,329
215,Blade of the Immortal,6.8,2017,88
216,Harry Potter and the Sorcerer's Stone,7.6,2001,1800
217,Harry Potter and the Chamber of Secrets,7.5,2002,1000
218,Harry Potter and the Goblet of Fire,7.7,2005,2000
219,Walk the Line,7.8,2005,925
220,The Legend of Bagger Vance,6.7,2000,292
221,Dracula,7.4,1992,822
222,Charlie's Angels,5.6,2000,687
223,Dearest,7.6,2014,17
224,Interview with the Vampire: The Vampire Chronicles,7.5,1994,501
225,Just Friends,6.2,2005,280
226,The Matrix Revolutions,6.8,2003,2200
227,Frida,7.4,2002,306
228,Shaolin Soccer,7.3,2001,272
229,Harlem Nights,6.1,1989,88
230,Ninja Assassin,6.3,2009,260
231,Punch-Drunk Love,7.3,2002,996
232,Romeo + Juliet,6.7,1996,588
233,Tower Heist,6.2,2011,246
234,Arrival,7.9,2016,2100
235,Brother Bear,6.9,2003,200
236,The Hunger Games: Catching Fire,7.5,2013,765
237,Jojo Rabbit,7.9,2019,1700
238,Enchanted,7.0,2007,453
239,Thor: Ragnarok,7.9,2017,1800
240,First Blood,7.7,1982,530
241,Captain America: Civil War,7.8,2016,1500
242,Mission: Impossible,7.1,1996,506
243,Rambo III,5.8,1988,251
244,Mamma Mia! Here We Go Again,6.6,2018,803
245,American Hustle,7.2,2013,849
246,Top Gun,6.9,1986,567
247,Transformers,7.0,2007,1900
248,A Star Is Born,7.6,2018,2800
249,The 40-Year-Old Virgin,7.1,2005,632
250,Rambo: First Blood Part II,6.5,1985,294
251,Star Trek,7.9,2009,1700
252,Saw,7.6,2004,1700
253,Jackass: The Movie,6.6,2002,349
254,Ben 10: Alien Swarm,4.7,2009,28
255,Ben 10: Race Against Time,4.3,2007,48
256,Harry Potter and the Prisoner of Azkaban,7.9,2004,1600
257,Harry Potter and the Order of the Phoenix,7.5,2007,1200
258,Harry Potter and the Half-Blood Prince,7.6,2009,1100
259,Stardust,7.6,2007,613
260,In Your Eyes,7.0,2014,83
261,X-Men,7.4,2000,1400
262,X2: X-Men United,7.4,2003,1100
263,X-Men: The Last Stand,6.7,2006,1900
264,The Vow,6.8,2012,208
265,How to Train Your Dragon: Homecoming,7.4,2019,18
266,Catwoman,3.4,2004,764
267,Spider-Man 3,6.2,2007,2200
268,The Amazing Spider-Man,6.9,2012,1500
269, Miraculous: Tales of Ladybug & Cat Noir,7.7,2015– ,144
270,Miraculous World: Shanghai - The Legend of Ladydragon,7.6,TV-Y7,11
271,Blue Lagoon: The Awakening,5.5,2012,58
272,Trollhunters: Rise of the Titans,6.8,2021,174
273,I Am Number Four,6.1,2011,419
274,The First Time,6.8,2012,93
275,How to Train Your Dragon 2,7.8,2014,434
276,Venom,6.7,2018,3900
277,Venom: Let There Be Carnage,6.0,2021,1300
278,Spider-Man,7.3,2002,2300
279,Spider-Man 2,7.4,2004,1600
280,The Amazing Spider-Man 2,6.6,2014,1300
281,X-Men Origins: Wolverine,6.6,2009,767
282,Avengers: Age of Ultron,7.3,2015,1400
283,14+,7.0,2015,12
284,Love Jones,7.4,1997,38
285,The Best Man,6.8,1999,87
286,The Last Letter from Your Lover,6.7,2021,167
287,Sylvie's Love,6.8,2020,152
288,"Love, Again",6.0,2015,5
289,Transference: A Love Story,6.5,2020,9
290,Blue Velvet,7.7,1986,800
291,"The Cook, the Thief, His Wife & Her Lover",7.6,1989,200
292,Little Children,7.5,2006,346
293,Leaving Las Vegas,7.5,1995,370
294,Dead Ringers,7.3,1988,156
295,Bitter Moon,7.2,1992,126
296,Audition,7.2,1999,486
297,Last Tango in Paris,7.0,1972,216
298,My Bloody Valentine,6.3,1981,205
299,The Hunger,6.7,1983,156
300,Ghost,7.1,1990,352
301,The Time Traveler's Wife,7.1,2009,295
302,The Mummy,7.1,1932,219
303,Mahal,7.1,1949,10
304,Beyond the Darkness,6.3,1979,96
305,Lolita,6.9,1997,254
306,The Graduate,8.0,1967,814
307,Let the Right One In,7.9,2008,632
308,Endless Love,4.9,1981,78
309,While You Were Sleeping,6.7,1995,240
310,Murphy's Romance,7.0,1985,49
311,Hounds of Love,6.5,2016,71
312,Cat People,7.3,1942,187
313,The Kiss of the Vampire,6.3,1963,68
314,Her First Romance,5.3,1951,10
315,Spring,6.7,2014,152
316,I Give It a Year,5.7,2013,125
317,In Love and War,6.0,1996,52
318,Love Is All,7.0,2007,15
319,Nightmare Alley,7.8,1947,148
320,The Power of the Dog,6.9,2021,1100
321,Death on the Nile,6.7,2022,172
322,The King's Man,6.5,2021,569
323,Encanto,7.3,2021,960
324,Jackass Forever,7.6,2022,106
325,The Tinder Swindler,7.3,2022,240
326,Marry Me,6.2,2022,196
327,Moonfall,5.3,2022,403
328,Uncharted,6.8,2022,168
329,House of Gucci,6.7,2021,697
330,Don't Look Up,7.2,2021,4300
331,Licorice Pizza,7.9,2021,272
332,Ghostbusters: Afterlife,7.2,2021,1500
333,Belfast,7.4,2021,302
334,CODA,8.1,2021,353
335,Kimi,6.3,2022,141
336,Home Team,6.0,2022,115
337,Scream,7.0,2022,859
338,Drive My Car,7.8,2021,72
339,Sing 2,7.5,2021,306
340,Spencer,6.8,2021,715
341,Gehraiyaan,6.5,2022,517
342,The Last Duel,7.4,2021,1000
343,The Worst Person in the World,7.9,2021,94
344,The Matrix Resurrections,5.7,2021,5000
345,"tick, tick...BOOM!",7.6,2021,420
346,The Lost Daughter,6.7,2021,668
347,West Side Story,7.8,2021,517
348,King Richard,7.6,2021,373
349,The Fallout,7.1,2021,81
350,I Want You Back,6.7,2022,46
351,Munich: The Edge of War,6.9,2021,191
352,No Time to Die,7.3,2021,3700
353,The Tragedy of Macbeth,7.3,2021,242
354,Red Rocket,7.2,2021,67
355,Redeeming Love,6.6,2022,101
356,The 355,5.1,2022,297
357,Shut In,6.9,2022,197
358,The French Dispatch,7.3,2021,469
359,American Underdog,7.3,2021,112
360,Being the Ricardos,6.6,2021,551
361,Nobody,7.4,2021,2000
362,The Eyes of Tammy Faye,6.7,2021,152
363,Jack Reacher,7.0,2012,599
364,Free Guy,7.2,2021,1800
365,Blacklight,5.0,2022,30
366,Can You Keep a Secret?,5.4,2019,231
367,Last Night in Soho,7.1,2021,779
368,Flee,8.1,2021,38
369,The Ice Age Adventures of Buck Wild,4.6,2022,175
370,Resident Evil: Welcome to Raccoon City,5.2,2021,991
371,Ghostbusters,7.8,1984,667
372,Last Survivors,4.6,2021,34
373,Parallel Mothers,7.1,2021,43
374,Barb Wire,3.4,1996,121
375,Pleasure,6.3,2021,43
376,Kingsman: The Secret Service,7.7,2014,1000
377,Dog,6.9,2022,1
378,Cyrano,5.9,2021,33
379,Looop Lapeta,5.1,2022,147
380,Titane,6.7,2021,259
381,Clean,5.6,2020,81
382,The Long Night,3.4,2022,24
383,Love,6.1,2015,162
384,The Woman in the Window,5.7,2021,923
385,Brothers,7.1,2009,257
386,The In Between,5.7,2022,11
387,Red Notice,6.3,2021,1700
388,30 Days of Night,6.6,2007,632
389,50 First Dates,6.8,2004,566
390,About Last Night,6.3,1986,94
391,Angels & Demons,6.7,2009,535
392,Any Given Sunday,6.9,1999,480
393,Black Dynamite,7.4,2009,114
394,Body of Evidence,4.5,1992,92
395,Cake,5.1,2006,12
396,Charlotte's Web,6.9,1973,89
397,Cliffhanger,6.5,1993,242
398,Con Air,6.9,1997,443
399,Diary of a Mad Black Woman,5.8,2005,213
400,The Disney Holiday Singalong,5.9,2020,3
401,Dominion,5.2,2005,148
402,Dr. No,7.2,1962,527
403,Dragonball Evolution,2.5,2009,618
404,Euphoria,5.8,2017,41
405,Eyes Wide Shut,7.4,1999,1700
406,Garfield: A Tail of Two Kitties,5.0,2006,96
407,GoldenEye,7.2,1995,524
408,Goldfinger,7.7,1964,542
409,The Garden of Eden,5.2,2008,17
410,Here on Earth,5.2,2000,162
411,Hot Air,5.3,2018,35
412,Into the Blue,5.9,2005,234
413,Love Potion No. 9,5.7,1992,47
414,Lupin III,7.9,2018,4
415,Our Family Wedding,5.1,2010,28
416,Sands of Iwo Jima,7.1,1949,87
417,Shrink,6.6,2009,49
418,Sleeping with the Enemy,6.3,1991,149
419,Southside with You,6.3,2016,51
420,Strategic Air Command,6.4,1955,75
421,Sunshine,7.2,2007,994
422,The 6th Day,5.9,2000,334
423,The Chumscrubber,6.9,2005,139
424,The Client,6.8,1994,127
425,The Color of Money,7.0,1986,160
426,The Da Vinci Code,6.6,2006,2000
427,The Fifth Element,7.7,1997,928
428,The Hand that Rocks the Cradle,6.7,1992,147
429,Hulk,5.6,2003,1500
430,The Hurt Locker,7.5,2008,1000
431,The January Man,5.6,1989,87
432,The Mummy: Tomb of the Dragon Emperor,5.2,2008,574
433,The November Man,6.3,2014,192
434,The Spy Who Loved Me,7.1,1977,360
435,The Young Victoria,7.3,2009,112
436,True Confessions,6.3,1981,76
437,Two Weeks,6.4,2006,22
438,Under the Tuscan Sun,6.8,2003,340
439,Tyler Perry's Why Did I Get Married?,5.9,2007,111
440,Brassic,8.4,2019– ,110
441,Deutschland 89,7.8,2020,19
442,My Hero Academia,8.4,2016– ,271
443,She Dies Tomorrow,5.1,2020,135
444,The Hardy Boys,7.1,2020– ,79
445,Black Ops,4.3,2019,31
446,God's Own Country,7.7,2017,181
447,It Had to Be You,5.5,2015,14
448,Mr. Jones,6.9,2019,104
449,Waiting for the Barbarians,5.9,2019,149
450,How to Fake a War,4.4,2019,11
451,The Secret Garden,5.6,2020,116
452,Valley Girl,5.5,2020,103
453,Nurses,5.9,2020– ,183
454,The Fairy Princess & the Unicorn,4.8,2019,5
455,Dr. Seuss' the Grinch Musical,3.6,2020,57
456,Out Stealing Horses,6.6,2019,11
457,Madagascar: A Little Wild,5.6,2020– ,8
458,Rent-A-Pal,6.3,2020,111
459,Spy Cat,5.5,2018,19
460,Endless,4.8,2020,23
461,Dirt Music,5.3,2019,20
462,Hitman: Agent 47,5.7,2015,239
463,Amy Winehouse: The Final Goodbye,6.0,2016,2
464,The Hero,6.5,2017,65
465,NOS4A2,6.7,2019–2020,317
466,You Cannot Kill David Arquette,7.2,2020,24
467,Someone Marry Barry,5.8,2014,25
468,The Little Hours,5.8,2017,132
469,Soldiers of Fortune,4.3,2012,69
470,Letterkenny,8.6,2016– ,203
471,American Animals,7.0,2018,229
472,The Masked Singer,5.8,2019–2021,215
473,Hope Gap,6.7,2019,90
474,Our Idiot Brother,6.4,2011,155
475,Bayou Caviar,4.7,2018,26
476,Supervized,5.1,2019,27
477,Joker,8.4,2019,11200
478,Avengers: Endgame,8.4,2019,9400
479,Parasite,8.6,2019,3400
480,The Lion King,6.8,2019,3000
481,The Shawshank Redemption,9.3,1994,9900
482,The Godfather,9.2,1972,4800
483,The Dark Knight,9.0,2008,7900
484,The Godfather: Part II,9.0,1974,1200
485,12 Angry Men,9.0,1957,1900
486,The Lord of the Rings: The Return of the King,8.9,2003,3900
487,Pulp Fiction,8.9,1994,3400
488,Schindler's List,8.9,1993,2000
489,Inception,8.8,2010,4500
490,Fight Club,8.8,1999,4200
491,The Lord of the Rings: The Fellowship of the Ring,8.8,2001,5600
492,Forrest Gump,8.8,1994,2800
493,"The Good, the Bad and the Ugly",8.8,1966,1200
494,The Lord of the Rings: The Two Towers,8.7,2002,2600
495,The Matrix,8.7,1999,4700
496,Goodfellas,8.7,1990,1500
497,Star Wars: Episode V - The Empire Strikes Back,8.7,1980,1300
498,One Flew Over the Cuckoo's Nest,8.7,1975,1100
499,Interstellar,8.6,2014,4900
500,City of God,8.6,2002,1100
501,Spirited Away,8.6,2001,1500
502,Saving Private Ryan,8.6,1998,2800
503,The Green Mile,8.6,1999,2000
504,Life Is Beautiful,8.6,1997,1400
505,Se7en,8.6,1995,1700
506,The Silence of the Lambs,8.6,1991,1500
507,Star Wars: Episode IV - A New Hope,8.6,1977,2000
508,Hara-Kiri,8.6,1962,285
509,Seven Samurai,8.6,1954,790
510,It's a Wonderful Life,8.6,1946,1000
511,Whiplash,8.5,2014,1400
512,The Intouchables,8.5,2011,785
513,The Prestige,8.5,2006,1600
514,The Departed,8.5,2006,2400
515,The Pianist,8.5,2002,1000
516,Gladiator,8.5,2000,2800
517,American History X,8.5,1998,1600
518,The Usual Suspects,8.5,1995,1400
519,Léon: The Professional,8.5,1994,1300
520,Terminator 2: Judgment Day,8.5,1991,1400
521,Cinema Paradiso,8.5,1988,578
522,Grave of the Fireflies,8.5,1988,902
523,Back to the Future,8.5,1985,1300
524,Once Upon a Time in the West,8.5,1968,797
525,Rear Window,8.5,1954,954
526,Casablanca,8.5,1942,1400
527,Modern Times,8.5,1936,341
528,City Lights,8.5,1931,327
529,Hamilton,8.4,2020,688
530,Capernaum,8.4,2018,453
531,Your Name.,8.4,2016,935
532,Dangal,8.4,2016,447
533,Spider-Man: Into the Spider-Verse,8.4,2018,2100
534,Avengers: Infinity War,8.4,2018,4500
535,Coco,8.4,2017,1300
536,Django Unchained,8.4,2012,1700
537,The Dark Knight Rises,8.4,2012,3600
538,3 Idiots,8.4,2009,870
539,Like Stars on Earth,8.4,2007,440
540,WALL·E,8.4,2008,1400
541,The Lives of Others,8.4,2006,549
542,Oldboy,8.4,2003,1100
543,Memento,8.4,2000,2400
544,Princess Mononoke,8.4,1997,776
545,Indiana Jones and the Raiders of the Lost Ark,8.4,1981,1000
546,The Shining,8.4,1980,2000
547,Apocalypse Now,8.4,1979,1300
548,Alien,8.4,1979,1600
549,High and Low,8.4,1963,146
550,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,1000
551,Witness for the Prosecution,8.4,1957,313
552,Paths of Glory,8.4,1957,482
553,Pather Panchali,8.4,1955,175
554,Sunset Blvd.,8.4,1950,673
555,The Great Dictator,8.4,1940,312
556,1917,8.3,2019,3300
557,Drishyam,8.3,2013,136
558,A Separation,8.3,2011,418
559,Incendies,8.3,2010,306
560,Hotel Rwanda,8.1,2004,700
561,Scarface,8.3,1983,1100
562,Million Dollar Baby,8.1,2004,1300
563,Catch Me If You Can,8.1,2002,954
564,Chinatown,8.2,1974,589
565,Braveheart,8.3,1995,1300
566,Good Will Hunting,8.3,1997,991
567,Gran Torino,8.1,2008,1000
568,American Beauty,8.3,1999,2900
569,A Beautiful Mind,8.2,2001,1300
570,The Sixth Sense,8.1,1999,2300
571,There Will Be Blood,8.2,2007,1400
572,Fargo,8.1,1996,1000
573,Reservoir Dogs,8.3,1992,1200
574,Taxi Driver,8.2,1976,1300
575,No Country for Old Men,8.1,2007,2000
576,Inglourious Basterds,8.3,2009,2000
577,Once Upon a Time in America,8.3,1984,778
578,Aliens,8.3,1986,1400
579,Star Wars: Episode VI - Return of the Jedi,8.3,1983,928
580,Amadeus,8.3,1984,692
581,Toy Story,8.3,1995,720
582,Requiem for a Dream,8.3,2000,2200
583,Vertigo,8.3,1958,989
584,2001: A Space Odyssey,8.3,1968,2300
585,The Kid,8.3,1921,228
586,Ford v Ferrari,8.1,2019,1500
587,Eternal Sunshine of the Spotless Mind,8.3,2004,1900
588,Citizen Kane,8.3,1941,1500
589,North by Northwest,8.3,1959,690
590,Singin' in the Rain,8.3,1952,764
591,Full Metal Jacket,8.3,1987,924
592,A Clockwork Orange,8.3,1971,1600
593,Snatch,8.2,2000,911
594,Lawrence of Arabia,8.3,1962,734
595,The Sting,8.3,1973,336
596,Double Indemnity,8.3,1944,447
597,Toy Story 3,8.2,2010,949
598,The Apartment,8.3,1960,388
599,To Kill a Mockingbird,8.2,1962,595
600,Indiana Jones and the Last Crusade,8.2,1989,647
601,Up,8.2,2009,1000
602,Monty Python and the Holy Grail,8.2,1975,822
603,L.A. Confidential,8.2,1997,783
604,Heat,8.2,1995,1200
605,Green Book,8.2,2018,1700
606,Batman Begins,8.2,2005,3000
607,Die Hard,8.2,1988,1000
608,Unforgiven,8.2,1992,664
609,Some Like It Hot,8.2,1959,478
610,Judgment at Nuremberg,8.2,1961,243
611,The Father,8.3,2020,922
612,All About Eve,8.2,1950,408
613,The Treasure of the Sierra Madre,8.2,1948,307
614,The Wolf of Wall Street,8.2,2013,1700
615,The Great Escape,8.2,1963,414
616,Casino,8.2,1995,720
617,Klaus,8.2,2019,786
618,The Gold Rush,8.2,1925,216
619,Raging Bull,8.2,1980,651
620,Shutter Island,8.2,2010,1500
621,To Be or Not to Be,8.2,1942,155
622,Dial M for Murder,8.2,1954,403
623,"Lock, Stock and Two Smoking Barrels",8.2,1998,630
624,The Elephant Man,8.1,1980,461
625,The Thing,8.1,1982,1200
626,"Three Billboards Outside Ebbing, Missouri",8.1,2017,1300
627,The Third Man,8.1,1949,506
628,The Bridge on the River Kwai,8.1,1957,368
629,Jurassic Park,8.1,1993,1300
630,V for Vendetta,8.1,2005,2300
631,The Truman Show,8.1,1998,1300
632,Gone with the Wind,8.1,1939,955
633,Warrior,8.1,2011,774
634,Blade Runner,8.1,1982,1600
635,On the Waterfront,8.1,1954,374
636,Trainspotting,8.1,1996,671
637,The General,8.1,1926,324
638,Inside Out,8.1,2015,1100
639,Finding Nemo,8.1,2003,1000
640,Kill Bill: Vol. 1,8.1,2003,2400
641,Mr. Smith Goes to Washington,8.1,1939,332
642,Mary and Max,8.1,2009,256
643,Prisoners,8.1,2013,1100
644,Barry Lyndon,8.1,1975,514
645,The Deer Hunter,8.1,1978,1100
646,Before Sunrise,8.1,1995,567
647,The Grand Budapest Hotel,8.1,2014,1000
648,In the Name of the Father,8.1,1993,213
649,Hacksaw Ridge,8.1,2016,1000
650,Room,8.1,2015,773
651,Gone Girl,8.1,2014,1600
652,Harry Potter and the Deathly Hallows: Part 2,8.1,2011,1000
653,12 Years a Slave,8.1,2013,947
654,Ben-Hur,8.1,1959,482
655,Dead Poets Society,8.1,1989,729
656,The Big Lebowski,8.1,1998,1300
657,How to Train Your Dragon,8.1,2010,690
658,Hachi: A Dog's Tale,8.1,2009,588
659,Network,8.1,1976,424
660,Mad Max: Fury Road,8.1,2015,2200
661,Cool Hand Luke,8.1,1967,378
662,Logan,8.1,2017,1700
663,Stand by Me,8.1,1986,764
664,Rebecca,8.1,1940,382
665,It Happened One Night,8.1,1934,331
666,Platoon,8.1,1986,656
667,Spotlight,8.1,2015,679
668,"Monsters, Inc.",8.1,2001,760
669,Life of Brian,8.1,1979,436
670,Rush,8.1,2013,636
671,Into the Wild,8.1,2007,1000
672,Before Sunset,8.1,2004,581
673,Amélie,8.3,2001,1500
674,In the Mood for Love,8.1,2000,468
675,Das Boot,8.3,1981,552
676,M,8.3,1931,400
